#BOF|2022.03.14|03:30:03
#SYM|CUR|NAME|CON|ISIN|REBATERATE|FEERATE|AVAILABLE|
CYIENT|INR|CYIENT LTD|56985714|INE136B01020|NA|NA|150000|
DABUR|INR|DABUR INDIA LIMITED|44652199|INE016A01026|NA|NA|1000000|
DCBBANK|INR|DCB BANK LTD|56984045|INE503A01015|NA|NA|1200000|
DELTACORP|INR|DELTA CORP LTD|56984039|INE124G01033|NA|NA|1100000|
DEN|INR|DEN NETWORKS LTD|70756752|INE947J01015|NA|NA|400000|
DISHTV|INR|DISH TV INDIA LTD|56984081|INE836F01026|NA|NA|4000000|
DIVISLAB|INR|DIVI'S LABORATORIES LTD|56984084|INE361B01024|NA|NA|350000|
DLF|INR|DLF LIMITED|49982064|INE271C01023|NA|NA|6800000|
DRREDDY|INR|DR. REDDY'S LABORATORIES|44652180|INE089A01023|NA|NA|350000|
ECLERX|INR|ECLERX SERVICES LTD|75733275|INE738I01010|NA|NA|35000|
EDELWEISS|INR|EDELWEISS FINANCIAL SERVICES|77837409|INE532F01054|NA|NA|500000|
EDUCOMP|INR|EDUCOMP SOLUTIONS LTD|69908072|INE216H01027|NA|NA|550000|
EIDPARRY|INR|EID PARRY INDIA LTD|82363785|INE126A01031|NA|NA|100000|
EIHOTEL|INR|EIH LIMITED|56984324|INE230A01023|NA|NA|100000|
EMAMILTD|INR|EMAMI LIMITED|77442377|INE548C01032|NA|NA|95000|
ENGINERSI|INR|ENGINEERS INDIA LTD|75044888|INE510A01028|NA|NA|150000|
EROSMEDIA|INR|EROS INTERNATIONAL MEDIA LTD|79730131|INE416L01017|NA|NA|450000|
ESCORTS|INR|ESCORTS LTD|56984411|INE042A01014|NA|NA|600000|
EXIDEIND|INR|EXIDE INDUSTRIES LTD|56985401|INE302A01020|NA|NA|2100000|
FDC|INR|FDC LTD|56983549|INE258B01022|NA|NA|300000|
FEL|INR|FUTURE ENTERPRISES LTD|56986733|INE623B01027|NA|NA|1000000|
FINCABLES|INR|FINOLEX CABLES LTD|56983571|INE235A01022|NA|NA|450000|
FORTIS|INR|FORTIS HEALTHCARE LTD|56983577|INE061F01013|NA|NA|400000|
GAIL|INR|GAIL INDIA LTD|44652084|INE129A01019|8.3500|1.2500|1200000|
GEPIL|INR|GE POWER INDIA LTD|56572883|INE878A01011|NA|NA|30000|
GESHIP|INR|GREAT EASTERN SHIPPING CO|56986194|INE017A01032|NA|NA|100000|
GETD|INR|GE T&amp;D INDIA LTD|56988426|INE200A01026|NA|NA|40000|
GFLLIMITE|INR|GFL LIMITED|56986200|INE538A01037|NA|NA|150000|
GICHSGFIN|INR|GIC HOUSING FINANCE LTD|56986222|INE289B01019|NA|NA|250000|
GILLETTE|INR|GILLETTE INDIA LTD|56985730|INE322A01010|NA|NA|4000|
GLAXO|INR|GLAXOSMITHKLINE PHARMACEUTIC|44652177|INE159A01016|NA|NA|35000|
GLENMARK|INR|GLENMARK PHARMACEUTICALS LTD|56986291|INE935A01035|NA|NA|700000|
GMDCLTD|INR|GUJARAT MINERAL DEV CORP LTD|56986257|INE131A01031|NA|NA|200000|
GMRINFRA|INR|GMR INFRASTRUCTURE LTD|69237773|INE776C01039|NA|NA|>10000000|
GODREJCP|INR|GODREJ CONSUMER PRODUCTS LTD|56986171|INE102D01028|NA|NA|150000|
GODREJIND|INR|GODREJ INDUSTRIES LTD|56986182|INE233A01035|NA|NA|500000|
GOENKA|INR|GOENKA DIAMOND &amp; JEWELS LTD|116304258|INE516K01024|NA|NA|950000|
GPPL|INR|GUJARAT PIPAVAV PORT LTD|78746682|INE517F01014|NA|NA|500000|
GRAPHITE|INR|GRAPHITE INDIA LTD|56986339|INE371A01025|NA|NA|100000|
GRAVITA|INR|GRAVITA INDIA LTD|107998370|INE024L01027|NA|NA|300000|
GREAVESCO|INR|GREAVES COTTON LTD|81325729|INE224A01026|NA|NA|300000|
GSFC|INR|GUJARAT STATE FERT &amp; CHEMICA|113787164|INE026A01025|NA|NA|750000|
GSPL|INR|GUJARAT STATE PETRONET LTD|56986392|INE246F01010|NA|NA|900000|
GTLINFRA|INR|GTL INFRASTRUCTURE LTD|56986371|INE221H01019|NA|NA|8600000|
HCC|INR|HINDUSTAN CONSTRUCTION CO|56983837|INE549A01026|NA|NA|3000000|
HCLTECH|INR|HCL TECHNOLOGIES LTD|44652094|INE860A01027|NA|NA|1300000|
HDFC|INR|HOUSING DEVELOPMENT FINANCE|77975259|INE001A01036|NA|NA|2500000|
HDIL|INR|HOUSING DEVELOPMENT &amp; INFRAS|56983856|INE191I01012|NA|NA|2000000|
HEROMOTOC|INR|HERO MOTOCORP LIMITED|44652149|INE158A01026|NA|NA|350000|
HINDALCO|INR|HINDALCO INDUSTRIES LIMITED|44652119|INE038A01020|NA|NA|7700000|
HINDCOPPE|INR|HINDUSTAN COPPER LIMITED|64684428|INE531E01026|NA|NA|1600000|
HINDOILEX|INR|HINDUSTAN OIL EXPLORATION CO|56983914|INE345A01011|NA|NA|650000|
HINDPETRO|INR|HINDUSTAN PETROLEUM CORP|44652194|INE094A01015|NA|NA|1600000|
HINDUNILV|INR|HINDUSTAN UNILEVER LTD|44652060|INE030A01027|NA|NA|3000000|
HINDZINC|INR|HINDUSTAN ZINC LTD|84948060|INE267A01025|NA|NA|1000000|
HMT|INR|HMT LIMITED|56983904|INE262A01018|NA|NA|150000|
HONAUT|INR|HONEYWELL AUTOMATION INDIA|56983971|INE671A01010|NA|NA|40000|
HSIL|INR|HSIL LTD|56983937|INE415A01038|NA|NA|300000|
IBREALEST|INR|INDIABULLS REAL ESTATE LTD|56985565|INE069I01010|NA|NA|2100000|
ICRA|INR|ICRA LIMITED|56985594|INE725G01011|NA|NA|20000|
IDBI|INR|IDBI BANK LIMITED|56985599|INE008A01015|NA|NA|2500000|
IDEA|INR|VODAFONE IDEA LTD|50486121|INE669E01016|4.3800|4.3200|4000000|
IDFC|INR|IDFC LTD|56985600|INE043D01016|NA|NA|6000000|
IFCI|INR|IFCI LIMITED|56985620|INE039A01010|NA|NA|8300000|
IIFL|INR|IIFL FINANCE LTD|56985654|INE530B01024|NA|NA|600000|
ILFSTRANS|INR|IL&amp;FS TRANSPORTATION NETWORK|73937545|INE975G01012|NA|NA|100000|
INDHOTEL|INR|INDIAN HOTELS CO LIMITED|56985645|INE053A01029|NA|NA|850000|
INDIACEM|INR|INDIA CEMENTS LIMITED|56985582|INE383A01012|NA|NA|1400000|
INDIANB|INR|INDIAN BANK|56985685|INE562A01011|NA|NA|300000|
INDUSINDB|INR|INDUSIND BANK LIMITED|56985651|INE095A01012|NA|NA|1300000|
INFY|INR|INFOSYS LTD|44652017|INE009A01021|8.9500|0.7500|1200000|
INGERRAND|INR|INGERSOLL-RAND INDIA LTD|56985719|INE177A01018|NA|NA|9000|
IOB|INR|INDIAN OVERSEAS BANK|56985741|INE565A01014|NA|NA|1600000|
IOC|INR|INDIAN OIL CORPORATION LTD|56985747|INE242A01010|NA|NA|1000000|
IRB|INR|IRB INFRASTRUCTURE DEVELOPER|56985795|INE821I01014|NA|NA|1600000|
ITC|INR|ITC LTD|44652040|INE154A01025|NA|NA|6700000|
JAGRAN|INR|JAGRAN PRAKASHAN LIMITED|56984132|INE199G01027|NA|NA|100000|
JAICORPLT|INR|JAI CORPORATION LTD|56984189|INE070D01027|NA|NA|850000|
JETAIRWAY|INR|JET AIRWAYS INDIA LTD|56984184|INE802G01018|NA|NA|400000|
JINDALSAW|INR|JINDAL SAW LTD|70865792|INE324A01024|NA|NA|1000000|
JINDALSTE|INR|JINDAL STEEL &amp; POWER LTD|56984268|INE749A01030|NA|NA|2100000|
JISLJALEQ|INR|JAIN IRRIGATION SYSTEMS LTD|80423707|INE175A01038|NA|NA|2100000|
JKCEMENT|INR|JK CEMENT LTD|56984211|INE823G01014|NA|NA|100000|
JKLAKSHMI|INR|J.K. LAKSHMI CEMENT LIMITED|70976074|INE786A01032|NA|NA|350000|
JMFINANCI|INR|JM FINANCIAL LTD|56984224|INE780C01023|NA|NA|3500000|
JPASSOCIA|INR|JAIPRAKASH ASSOCIATES LTD|56984254|INE455F01025|NA|NA|>10000000|
JPINFRATE|INR|JAYPEE INFRATECH LTD|75395092|INE099J01015|NA|NA|800000|
JPPOWER|INR|JAIPRAKASH POWER VENTURES LT|56984199|INE351F01018|NA|NA|5200000|
JSWENERGY|INR|JSW ENERGY LIMITED|72432194|INE121E01018|NA|NA|2300000|
JSWHL|INR|JSW HOLDINGS LTD|56989409|INE824G01012|NA|NA|55000|
JUBLFOOD|INR|JUBILANT FOODWORKS LTD|72513009|INE797F01012|NA|NA|300000|
JUBLPHARM|INR|JUBILANT PHARMOVA LTD|56984251|INE700A01033|NA|NA|200000|
JYOTHYLAB|INR|JYOTHY LABS LTD|56984280|INE668F01031|NA|NA|200000|
KALPATPOW|INR|KALPATARU POWER TRANSMISSION|78724762|INE220B01022|NA|NA|250000|
KEC|INR|KEC INTERNATIONAL LTD|82450873|INE389H01022|NA|NA|300000|
KOLTEPATI|INR|KOLTE-PATIL DEVELOPERS LTD|56985092|INE094I01018|NA|NA|350000|
KOTAKBANK|INR|KOTAK MAHINDRA BANK LTD|78743661|INE237A01028|NA|NA|750000|
KTKBANK|INR|KARNATAKA BANK LTD|56984959|INE614B01018|NA|NA|900000|
LAXMIMACH|INR|LAKSHMI MACHINE WORKS LTD|56983463|INE269B01029|NA|NA|20000|
LICHSGFIN|INR|LIC HOUSING FINANCE LTD|82450876|INE115A01026|NA|NA|2500000|
LINDEINDI|INR|LINDE INDIA LTD|56985750|INE473A01011|NA|NA|20000|
LIQUIDBEE|INR|NIPPON INDIA ETF LIQUID BEES|56983408|INF732E01037|NA|NA|25000|
LT|INR|LARSEN &amp; TOUBRO LIMITED|44652051|INE018A01030|6.8910|2.7090|1500000|
LTFH|INR|L&amp;T FINANCE HOLDINGS LTD|92679222|INE498L01015|NA|NA|8500000|
LUPIN|INR|LUPIN LTD|78429379|INE326A01037|NA|NA|700000|
MAHABANK|INR|BANK OF MAHARASHTRA|56988059|INE457A01014|NA|NA|350000|
MAHLIFE|INR|MAHINDRA LIFESPACE DEVELOPER|56987299|INE813A01018|NA|NA|65000|
MAHSEAMLE|INR|MAHARASHTRA SEAMLESS LTD|56987249|INE271B01025|NA|NA|20000|
MANAPPURA|INR|MANAPPURAM FINANCE LTD|74960455|INE522D01027|NA|NA|4200000|
MARICO|INR|MARICO LIMITED|56987333|INE196A01026|NA|NA|250000|
MARUTI|INR|MARUTI SUZUKI INDIA LTD|44652108|INE585B01010|NA|NA|700000|
MCLEODRUS|INR|MCLEOD RUSSEL INDIA LIMITED|56987165|INE942G01012|NA|NA|300000|
MCX|INR|MULTI COMMODITY EXCH INDIA|103853702|INE745G01035|NA|NA|150000|
MFSL|INR|MAX FINANCIAL SERVICES LTD|56987139|INE180A01020|NA|NA|250000|
MHRIL|INR|MAHINDRA HOLIDAYS &amp; RESORTS|64847576|INE998I01010|NA|NA|75000|
MINDTREE|INR|MINDTREE LIMITED|56987628|INE018I01017|NA|NA|100000|
MM|INR|MAHINDRA &amp; MAHINDRA LIMITED|73894413|INE101A01026|NA|NA|1200000|
MMTC|INR|MMTC LTD|77606383|INE123F01029|NA|NA|100000|
MOIL|INR|MOIL LTD|81828496|INE490G01020|NA|NA|80000|
MOTHERSUM|INR|MOTHERSON SUMI SYSTEMS LTD|56987580|INE775A01035|NA|NA|550000|
MPHASIS|INR|MPHASIS LIMITED|56987328|INE356A01018|NA|NA|150000|
MRF|INR|MRF LIMITED|56987338|INE883A01011|NA|NA|10000|
MRPL|INR|MANGALORE REFINERY &amp; PETRO|56987368|INE103A01014|NA|NA|500000|
MTNL|INR|MAHANAGAR TELEPHONE NIGAM|44652190|INE153A01019|NA|NA|2400000|
MUTHOOTFI|INR|MUTHOOT FINANCE LTD|87790418|INE414G01012|NA|NA|650000|
NATIONALU|INR|NATIONAL ALUMINIUM CO LTD|85433002|INE139A01034|NA|NA|250000|
NAUKRI|INR|INFO EDGE INDIA LTD|56985708|INE663F01024|NA|NA|45000|
NBVENTURE|INR|NAVA BHARAT VENTURES LIMITED|56984534|INE725A01022|NA|NA|90000|
NCC|INR|NCC LTD|56984639|INE868B01028|NA|NA|1200000|
NESTLEIND|INR|NESTLE INDIA LIMITED|64687316|INE239A01016|NA|NA|25000|
NETWORK18|INR|NETWORK 18 MEDIA &amp; INVTS LTD|56984579|INE870H01013|NA|NA|1700000|
NFL|INR|NATIONAL FERTILIZERS LTD|56984588|INE870D01012|NA|NA|70000|
NHPC|INR|NHPC LTD|68324175|INE848E01016|NA|NA|>10000000|
NLCINDIA|INR|NLC INDIA LTD|56984642|INE589A01014|NA|NA|100000|
NMDC|INR|NMDC LIMITED|56984653|INE584A01023|NA|NA|5400000|
NTPC|INR|NTPC LIMITED|49982069|INE733E01010|2.3700|7.2300|3100000|
OBEROIRLT|INR|OBEROI REALTY LTD|80268159|INE093I01010|NA|NA|100000|
OFSS|INR|ORACLE FINANCIAL SERVICES|56983625|INE881D01027|NA|NA|55000|
OIL|INR|OIL INDIA LTD|69422667|INE274J01014|NA|NA|350000|
OMAXE|INR|OMAXE LIMITED|56983611|INE800H01010|NA|NA|200000|
ONELIFECA|INR|ONELIFE CAPITAL ADVISORS LTD|95920654|INE912L01015|NA|NA|65000|
